idx,item,rejection_id,swapped,type,name1,name2,preamble,no,wait,continuation1,continuation2
38,3,0,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","No,","Wait no,",he does not.,he did not.
39,3,1,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","No,","Hey, wait a minute. No,",he did not.,he does not.
40,3,1,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","No,","Hey, wait a minute. No,",he does not.,he did not.
41,3,2,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","No,","Hang on a minute. No,",he did not.,he does not.
42,3,2,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","No,","Hang on a minute. No,",he does not.,he did not.
43,3,3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","Thats not true. No,","Wait no,",he did not.,he does not.
44,3,3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","Thats not true. No,","Wait no,",he does not.,he did not.
45,3,4,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","Thats not true. No,","Hey, wait a minute. No,",he did not.,he does not.
46,3,4,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","Thats not true. No,","Hey, wait a minute. No,",he does not.,he did not.
47,3,5,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","Thats not true. No,","Hang on a minute. No,",he did not.,he does not.
48,3,5,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","Thats not true. No,","Hang on a minute. No,",he does not.,he did not.
49,3,6,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","Nope,","Wait no,",he did not.,he does not.
50,3,6,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","Nope,","Wait no,",he does not.,he did not.
51,3,7,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","Nope,","Hey, wait a minute. No,",he did not.,he does not.
52,3,7,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","Nope,","Hey, wait a minute. No,",he does not.,he did not.
53,3,8,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","Nope,","Hang on a minute. No,",he did not.,he does not.
54,3,8,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.","Nope,","Hang on a minute. No,",he does not.,he did not.
55,4,0,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","No,","Wait no,",she did not.,she does not.
56,4,0,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","No,","Wait no,",she does not.,she did not.
57,4,1,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","No,","Hey, wait a minute. No,",she did not.,she does not.
58,4,1,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","No,","Hey, wait a minute. No,",she does not.,she did not.
59,4,2,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","No,","Hang on a minute. No,",she did not.,she does not.
60,4,2,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","No,","Hang on a minute. No,",she does not.,she did not.
61,4,3,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","Thats not true. No,","Wait no,",she did not.,she does not.
62,4,3,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","Thats not true. No,","Wait no,",she does not.,she did not.
63,4,4,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","Thats not true. No,","Hey, wait a minute. No,",she did not.,she does not.
64,4,4,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","Thats not true. No,","Hey, wait a minute. No,",she does not.,she did not.
65,4,5,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","Thats not true. No,","Hang on a minute. No,",she did not.,she does not.
66,4,5,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","Thats not true. No,","Hang on a minute. No,",she does not.,she did not.
67,4,6,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","Nope,","Wait no,",she did not.,she does not.
68,4,6,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","Nope,","Wait no,",she does not.,she did not.
69,4,7,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","Nope,","Hey, wait a minute. No,",she did not.,she does not.
70,4,7,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","Nope,","Hey, wait a minute. No,",she does not.,she did not.
71,4,8,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats.","Nope,","Hang on a minute. No,",she did not.,she does not.
72,4,8,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog.","Nope,","Hang on a minute. No,",she does not.,she did not.
73,5,0,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","No,","Wait no,",she did not.,she does not.
74,5,0,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","No,","Wait no,",she does not.,she did not.
75,5,1,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","No,","Hey, wait a minute. No,",she did not.,she does not.
76,5,1,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","No,","Hey, wait a minute. No,",she does not.,she did not.
77,5,2,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","No,","Hang on a minute. No,",she did not.,she does not.
78,5,2,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","No,","Hang on a minute. No,",she does not.,she did not.
79,5,3,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","Thats not true. No,","Wait no,",she did not.,she does not.
80,5,3,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","Thats not true. No,","Wait no,",she does not.,she did not.
81,5,4,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","Thats not true. No,","Hey, wait a minute. No,",she did not.,she does not.
82,5,4,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","Thats not true. No,","Hey, wait a minute. No,",she does not.,she did not.
83,5,5,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","Thats not true. No,","Hang on a minute. No,",she did not.,she does not.
84,5,5,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","Thats not true. No,","Hang on a minute. No,",she does not.,she did not.
85,5,6,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","Nope,","Wait no,",she did not.,she does not.
86,5,6,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","Nope,","Wait no,",she does not.,she did not.
87,5,7,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","Nope,","Hey, wait a minute. No,",she did not.,she does not.
88,5,7,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","Nope,","Hey, wait a minute. No,",she does not.,she did not.
89,5,8,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day.","Nope,","Hang on a minute. No,",she did not.,she does not.
90,5,8,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning.","Nope,","Hang on a minute. No,",she does not.,she did not.
91,6,0,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","No,","Wait no,",she did not.,she does not.
92,6,0,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","No,","Wait no,",she does not.,she did not.
93,6,1,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","No,","Hey, wait a minute. No,",she did not.,she does not.
94,6,1,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","No,","Hey, wait a minute. No,",she does not.,she did not.
95,6,2,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","No,","Hang on a minute. No,",she did not.,she does not.
96,6,2,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","No,","Hang on a minute. No,",she does not.,she did not.
97,6,3,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","Thats not true. No,","Wait no,",she did not.,she does not.
98,6,3,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","Thats not true. No,","Wait no,",she does not.,she did not.
99,6,4,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","Thats not true. No,","Hey, wait a minute. No,",she did not.,she does not.
100,6,4,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","Thats not true. No,","Hey, wait a minute. No,",she does not.,she did not.
101,6,5,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","Thats not true. No,","Hang on a minute. No,",she did not.,she does not.
102,6,5,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","Thats not true. No,","Hang on a minute. No,",she does not.,she did not.
103,6,6,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","Nope,","Wait no,",she did not.,she does not.
104,6,6,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","Nope,","Wait no,",she does not.,she did not.
105,6,7,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","Nope,","Hey, wait a minute. No,",she did not.,she does not.
106,6,7,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","Nope,","Hey, wait a minute. No,",she does not.,she did not.
107,6,8,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day.","Nope,","Hang on a minute. No,",she did not.,she does not.
108,6,8,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator.","Nope,","Hang on a minute. No,",she does not.,she did not.
109,7,0,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","No,","Wait no,",she did not.,she does not.
110,7,0,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","No,","Wait no,",she does not.,she did not.
111,7,1,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","No,","Hey, wait a minute. No,",she did not.,she does not.
112,7,1,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","No,","Hey, wait a minute. No,",she does not.,she did not.
113,7,2,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","No,","Hang on a minute. No,",she did not.,she does not.
114,7,2,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","No,","Hang on a minute. No,",she does not.,she did not.
115,7,3,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","Thats not true. No,","Wait no,",she did not.,she does not.
116,7,3,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","Thats not true. No,","Wait no,",she does not.,she did not.
117,7,4,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","Thats not true. No,","Hey, wait a minute. No,",she did not.,she does not.
118,7,4,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","Thats not true. No,","Hey, wait a minute. No,",she does not.,she did not.
119,7,5,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","Thats not true. No,","Hang on a minute. No,",she did not.,she does not.
120,7,5,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","Thats not true. No,","Hang on a minute. No,",she does not.,she did not.
121,7,6,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","Nope,","Wait no,",she did not.,she does not.
122,7,6,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","Nope,","Wait no,",she does not.,she did not.
123,7,7,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","Nope,","Hey, wait a minute. No,",she did not.,she does not.
124,7,7,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","Nope,","Hey, wait a minute. No,",she does not.,she did not.
125,7,8,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting.","Nope,","Hang on a minute. No,",she did not.,she does not.
126,7,8,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony.","Nope,","Hang on a minute. No,",she does not.,she did not.
127,8,0,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","No,","Wait no,",she did not.,she does not.
128,8,0,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","No,","Wait no,",she does not.,she did not.
129,8,1,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","No,","Hey, wait a minute. No,",she did not.,she does not.
130,8,1,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","No,","Hey, wait a minute. No,",she does not.,she did not.
131,8,2,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","No,","Hang on a minute. No,",she did not.,she does not.
132,8,2,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","No,","Hang on a minute. No,",she does not.,she did not.
133,8,3,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","Thats not true. No,","Wait no,",she did not.,she does not.
134,8,3,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","Thats not true. No,","Wait no,",she does not.,she did not.
135,8,4,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","Thats not true. No,","Hey, wait a minute. No,",she did not.,she does not.
136,8,4,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","Thats not true. No,","Hey, wait a minute. No,",she does not.,she did not.
137,8,5,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","Thats not true. No,","Hang on a minute. No,",she did not.,she does not.
138,8,5,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","Thats not true. No,","Hang on a minute. No,",she does not.,she did not.
139,8,6,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","Nope,","Wait no,",she did not.,she does not.
140,8,6,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","Nope,","Wait no,",she does not.,she did not.
141,8,7,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","Nope,","Hey, wait a minute. No,",she did not.,she does not.
142,8,7,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","Nope,","Hey, wait a minute. No,",she does not.,she did not.
143,8,8,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends.","Nope,","Hang on a minute. No,",she did not.,she does not.
144,8,8,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog.","Nope,","Hang on a minute. No,",she does not.,she did not.
145,9,0,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","No,","Wait no,",he did not.,he does not.
146,9,0,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","No,","Wait no,",he does not.,he did not.
147,9,1,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","No,","Hey, wait a minute. No,",he did not.,he does not.
148,9,1,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","No,","Hey, wait a minute. No,",he does not.,he did not.
149,9,2,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","No,","Hang on a minute. No,",he did not.,he does not.
150,9,2,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","No,","Hang on a minute. No,",he does not.,he did not.
151,9,3,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","Thats not true. No,","Wait no,",he did not.,he does not.
152,9,3,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","Thats not true. No,","Wait no,",he does not.,he did not.
153,9,4,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","Thats not true. No,","Hey, wait a minute. No,",he did not.,he does not.
154,9,4,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","Thats not true. No,","Hey, wait a minute. No,",he does not.,he did not.
155,9,5,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","Thats not true. No,","Hang on a minute. No,",he did not.,he does not.
156,9,5,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","Thats not true. No,","Hang on a minute. No,",he does not.,he did not.
157,9,6,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","Nope,","Wait no,",he did not.,he does not.
158,9,6,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","Nope,","Wait no,",he does not.,he did not.
159,9,7,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","Nope,","Hey, wait a minute. No,",he did not.,he does not.
160,9,7,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","Nope,","Hey, wait a minute. No,",he does not.,he did not.
161,9,8,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend.","Nope,","Hang on a minute. No,",he did not.,he does not.
162,9,8,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream.","Nope,","Hang on a minute. No,",he does not.,he did not.
163,10,0,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","No,","Wait no,",he did not.,he does not.
164,10,0,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","No,","Wait no,",he does not.,he did not.
165,10,1,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","No,","Hey, wait a minute. No,",he did not.,he does not.
166,10,1,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","No,","Hey, wait a minute. No,",he does not.,he did not.
167,10,2,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","No,","Hang on a minute. No,",he did not.,he does not.
168,10,2,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","No,","Hang on a minute. No,",he does not.,he did not.
169,10,3,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","Thats not true. No,","Wait no,",he did not.,he does not.
170,10,3,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","Thats not true. No,","Wait no,",he does not.,he did not.
171,10,4,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","Thats not true. No,","Hey, wait a minute. No,",he did not.,he does not.
172,10,4,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","Thats not true. No,","Hey, wait a minute. No,",he does not.,he did not.
173,10,5,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","Thats not true. No,","Hang on a minute. No,",he did not.,he does not.
174,10,5,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","Thats not true. No,","Hang on a minute. No,",he does not.,he did not.
175,10,6,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","Nope,","Wait no,",he did not.,he does not.
176,10,6,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","Nope,","Wait no,",he does not.,he did not.
177,10,7,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","Nope,","Hey, wait a minute. No,",he did not.,he does not.
178,10,7,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","Nope,","Hey, wait a minute. No,",he does not.,he did not.
179,10,8,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident.","Nope,","Hang on a minute. No,",he did not.,he does not.
180,10,8,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant.","Nope,","Hang on a minute. No,",he does not.,he did not.
181,11,0,False,arc,Christina,Roberto,"The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years.","No,","Wait no,",she did not.,she has not.
182,11,0,True,arc,Christina,Roberto,"The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving.","No,","Wait no,",she has not.,she did not.
183,11,1,False,arc,Christina,Roberto,"The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years.","No,","Hey, wait a minute. No,",she did not.,she has not.
184,11,1,True,arc,Christina,Roberto,"The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving.","No,","Hey, wait a minute. No,",she has not.,she did not.
185,11,2,False,arc,Christina,Roberto,"The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years.","No,","Hang on a minute. No,",she did not.,she has not.
186,11,2,True,arc,Christina,Roberto,"The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving.","No,","Hang on a minute. No,",she has not.,she did not.
