item,verb1,verb2,subj,vp1,vp2,prn,name1,name2,continuation,continuation_type,vp,continuation_id
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I bet that would also give her some ideas to write.,situational inference,2,9
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"Huh, I thought she was a cold-blooded lady.",situational inference,2,10
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"Didn't her mother make donations, too?",event association,2,11
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"She also works at an orphanage, I believe.",event association,2,12
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Doesn't she also run an adoption campaign?,event association,2,13
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,That's great because I think it's important to give back to the community.,event association,2,14
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,That's a good way to keep work-life balance.,event association,2,15
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,How did she miss the train?,lexical overlap,1,1
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Missing a train is definitely not a good start!,lexical overlap,1,2
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,"Too bad, trains in Chicago can be quite unpredictable.",lexical overlap,1,3
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Well it's not just this morning.,lexical overlap,1,4
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,The same thing happened to me this morning.,lexical overlap,1,5
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Did she ever make it to the lab?,situational inference,1,6
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I thought she drives to campus.,situational inference,1,7
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,So how did she come to office?,situational inference,1,8
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Did she oversleep or what?,situational inference,1,9
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I hope she didn't have any important meetings.,situational inference,1,10
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Was there a delay?,event association,1,11
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I wonder she had to wait for the next one for a long time.,event association,1,12
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I bet she was rushing to the platform.,event association,1,13
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Did she catch the next one?,event association,1,14
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I hope it didn't mess up the schedule too much.,event association,1,15
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,That's a lot of wine.,lexical overlap,2,1
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Well she used to have three bottles a day six months ago.,lexical overlap,2,2
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,"Does she drink white wine, or red wine?",lexical overlap,2,3
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Every day?,lexical overlap,2,4
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Two bottles?,lexical overlap,2,5
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,She should see a therapist.,situational inference,2,6
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I wonder if that's a cry for help.,situational inference,2,7
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Is she French?,situational inference,2,8
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,Maybe that's the secret for a productive life.,situational inference,2,9
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,How is she so healthy?,situational inference,2,10
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,But she already drinks two cans of beer every night.,event association,2,11
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I somehow thought that she was allergic to alcohol.,event association,2,12
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I should bring some cheese for her then.,event association,2,13
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,I can't even finish a glass.,event association,2,14
3,did,does,The professor,missed a train this morning,drinks two bottles of wine every day,she,Alexander,Anthony,It sounds like she has an unhealthy drinking habit.,event association,2,15
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,Having a bad dream is not new to him.,lexical overlap,1,1
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,He has so many dreams in general.,lexical overlap,1,2
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,"What was the dream about, do you know?",lexical overlap,1,3
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,He needs a dream catcher.,lexical overlap,1,4
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,He had a bad dream?,lexical overlap,1,5
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,He needs a hug.,situational inference,1,6
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,Is that why he looks so tired today?,situational inference,1,7
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,That can't be a good excuse why he couldn't finish his work.,situational inference,1,8
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,No wonder he has dark circles today.,situational inference,1,9
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,"Oh yes, I heard him shout and scream last night.",situational inference,1,10
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,The horror movie he watched last night might be the reason.,event association,1,11
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,I'm not surprised because he lives in a very haunted apartment.,event association,1,12
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,It would be a reflection of his subconsciousness.,event association,1,13
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,Maybe he's stressed.,event association,1,14
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,Is he worried that his exhibition might getting canceled?,event association,1,15
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,"As far as I know, he has multiple pianist friends.",lexical overlap,2,1
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,I believe that pianist is more than a friend.,lexical overlap,2,2
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,"If we are talking about the same person, they aren't friends any more.",lexical overlap,2,3
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,He has lots of musician friends.,lexical overlap,2,4
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,It makes sense because his brother is also a pianist.,lexical overlap,2,5
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,I can imagine them having a mutual interest.,situational inference,2,6
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,I wonder what they talk about.,situational inference,2,7
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,Do you know them well?,situational inference,2,8
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,What a creative duo!,situational inference,2,9
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,They must get inspired by each other.,situational inference,2,10
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,They should work on an art project together!,event association,2,11
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,I heard they went to the same art school.,event association,2,12
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,How did they first know each other?,event association,2,13
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,A combination of art and music sounds fantastic.,event association,2,14
4,did,does,The sculptor,had a bad dream,has a pianist friend,he,Owen,John,I know because they're actually launching a gallery together.,event association,2,15
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,"No, it wasn't on Thanksgiving.",lexical overlap,1,1
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,I don't think it was the house.,lexical overlap,1,2
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Why would a firefighter paint a house?,lexical overlap,1,3
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,On Thanksgiving?,lexical overlap,1,4
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Whose house was this?,lexical overlap,1,5
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Was that part of the community service she had to do?,situational inference,1,6
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,That's why she was looking for a big brush the other day!,situational inference,1,7
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Do you know if she had her uniform on while getting that done?,situational inference,1,8
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,That sounds like a productive way to spend a day.,situational inference,1,9
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Did anyone recognize the change?,situational inference,1,10
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,That's an interesting way to spend the holiday.,event association,1,11
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Is rennovating part of a firefighter's job?,event association,1,12
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Is that a holiday ritual for her?,event association,1,13
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,In what color?,event association,1,14
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,I heard she did that on Christmas as well.,event association,1,15
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Fifteen years is a lot.,lexical overlap,2,1
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,How did she get motivated to keep a diary for so long?,lexical overlap,2,2
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,i still don't understand why people keep a diary.,lexical overlap,2,3
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,"Hey, my neighbor has been doing that for fifteen years, too!",lexical overlap,2,4
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,"That's admirable, I don't even know how to spell a diary.",lexical overlap,2,5
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,She should publish it!,situational inference,2,6
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Do you think she can make the content public?,situational inference,2,7
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,That kind of discipline says a lot about her character.,situational inference,2,8
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,I really admire people who do things consistently.,situational inference,2,9
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,She might become a writer one day.,situational inference,2,10
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,That's a lot of recording of her personal history.,event association,2,11
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,That single notebook must contains lots of different experiences.,event association,2,12
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,I'm curious what she writes about.,event association,2,13
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,Journaling is quite therapeutic.,event association,2,14
5,did,has,The firefighter,painted the house on Thanksgiving,has been keeping a diary for fifteen years,she,Christina,Roberto,I bet she has lots of stories to write.,event association,2,15
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Which piece by Mozart did he perform?,lexical overlap,1,1
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I'm a big fan of Mozart!,lexical overlap,1,2
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I heard last time he performed at a big concert hall.,lexical overlap,1,3
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,"It wasn't just a piece, it was multiple pieces of Mozart!",lexical overlap,1,4
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,"What do you mean performed, he killed it!",lexical overlap,1,5
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,He must be an intellectual with lots of talent.,situational inference,1,6
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,How does he keep that work life balance?,situational inference,1,7
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I thought he was tone deaf.,situational inference,1,8
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I'm not surprised because his parents are both famous conductors.,situational inference,1,9
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,"Good for him, but he and I seem to have a different taste.",situational inference,1,10
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,"Cool, did he have any training in classical music?",event association,1,11
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Is his research related to music in any aspect?,event association,1,12
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Was it a solo performance or part of an ensemble?,event association,1,13
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Which instrument did he play?,event association,1,14
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,It was actually his entire research group that prepared for the concert.,event association,1,15
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Chemotherapy can be so challenging.,lexical overlap,2,1
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,"It can be a long road, but chemotherapy can make people stronger.",lexical overlap,2,2
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I hope he's also watching his diet along with the chemotheraphy.,lexical overlap,2,3
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,How many chemotherapy sessions does he have to go through?,lexical overlap,2,4
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Is chemotherapy expensive?,lexical overlap,2,5
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,How is he doing now?,situational inference,2,6
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Are there ways that we can help him?,situational inference,2,7
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,That's why he's lost so much weight the past few months.,situational inference,2,8
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Tell him that I'm here if he needs anyone who can talk to.,situational inference,2,9
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I hope he has a strong support system.,situational inference,2,10
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I hope he recovers soon.,event association,2,11
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,It's admirable that he's going through that treatment while juggling lots of family issues.,event association,2,12
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,What kind of cancer is he being treated for?,event association,2,13
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,Is he responding well to the treatment?,event association,2,14
6,did,has,The researcher,performed a piece by Mozart,has undergone chemotherapy,he,Veronica,Harrison,I hope there aren't any side effects.,event association,2,15
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Is that her favorite dessert?,lexical overlap,1,1
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,"Is that an ice cream, or a cake?",lexical overlap,1,2
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,"I'm not surprised, she loves dessert.",lexical overlap,1,3
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,"I've never had an ice cream cake, what is it like?",lexical overlap,1,4
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Did she just get one cake?,lexical overlap,1,5
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Was it for a celebration?,situational inference,1,6
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I hope it didn't melt on her way back!,situational inference,1,7
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,That sounds like a good treat after a long practice session.,situational inference,1,8
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I thought she said she was on a diet.,situational inference,1,9
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,"Right, last week was her seventh wedding anniversary.",situational inference,1,10
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I bet it was delicious!,event association,1,11
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Do you know much it was?,event association,1,12
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I bet she got a strawberry flavor.,event association,1,13
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I wonder if she got it from that new bakery across the street.,event association,1,14
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I thought she baked it.,event association,1,15
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Are you saying that the child is missing?,lexical overlap,2,1
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,She lost her child?,lexical overlap,2,2
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,How did she lose her child?,lexical overlap,2,3
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Losing a child is unimaginable.,lexical overlap,2,4
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,Where was the child last seen?,lexical overlap,2,5
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,This is such a tragedy.,situational inference,2,6
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I don't even know what to say.,situational inference,2,7
7,did,has,The violinist,bought an ice cream cake for dessert,has lost a child,she,Isabel,Sebastian,I hope she's seeing a counselor.,situational inference,2,8
