idx,key,value,type
,,"I already knew about that, but who exactly ended up doing the work?",event association
,,That's one way to handle chores.,event association
,,Do you know how much he's paying that kid?,event association
,,It's nice to offer young people opportunities.,event association
,vp2_cont,Is there a reason why he prefers to sit on a blue couch?,lexical overlap
,,"Well, it's actually a green couch.",lexical overlap
,,"Not sitting, he just lied down.",lexical overlap
,,Looks like someone's a big fan of couches.,lexical overlap
,,"His hair, shirts, pants, and everything are blue.",lexical overlap
,,He looks quite relaxed in that setting.,situational inference
,,Is this a break from training?,situational inference
,,"Apparently, it's his pre-game ritual.",situational inference
,,Is he trying to take a short nap?,situational inference
,,It must be a moment of relaxation.,situational inference
,,I guess his legs were tired.,event association
,,Five minutes ago he was lounging in a hammock.,event association
,,His coach is also resting on the bench.,event association
,,Yes he's chilling there even sipping coffee.,event association
,,"I'm not surprised because he said his favorite activity is lying on a beanbag, reading books.",event association
11,verb1,did,
,verb2,is,
,subj,The customer,
,vp1,suggested a good cleaning company to Ashley,
,vp2,is reliably calm under pressure,
,prn,she,
,name1,Zachary,
,name2,Alondra,
,vp1_cont,I thought Ashley was the real expert in cleaning.,lexical overlap
,,What do you mean by a good cleaning company?,lexical overlap
,,I didn't even know there are companies for cleaning.,lexical overlap
,,Last time she suggested a good catering company.,lexical overlap
,,Do you think Ashley will take that suggestion?,lexical overlap
,,It's nice that someone was kind enough to talk to her.,situational inference
,,Word-of-mouth advice often turns out to be the most reliable.,situational inference
,,I'm not surprised because that lady talks to everybody in the department store.,situational inference
,,Now someone's going to tidy up their house.,situational inference
,,"Of course, she's a walking consultant.",situational inference
,,I wonder if she'll take the advice and reach out.,event association
,,I think it was a good recommendation.,event association
,,It was a timely suggestion since Ashley needed some tidying up.,event association
,,I hope it's a reliable place.,event association
,,That's all she did?,event association
,vp2_cont,"Yes, always so calm.",lexical overlap
,,"Indeed, her calmness is truly impressive.",lexical overlap
,,"I know her sister, and she is calm, too.",lexical overlap
,,Staying calm under pressure is second. nature to her.,lexical overlap
,,Her calm demeanor makes the clerk's job so much eaiser.,lexical overlap
,,Maybe it's because she's been practicing mediation.,situational inference
,,It makes sense that she worked as an ER nurse for five years.,situational inference
,,But her partner is the exact opposite of that.,situational inference
,,No wonder she spent years managing high-stakes negotiations.,situational inference
,,"Interestingly, her sibling is nothing like her in that regard.",situational inference
,,"Yes, even in the most chaotic situations.",event association
,,"She went through a lot in life, and it shaped her resilience and composure.",event association
,,It isn't just a natural trait; it's a testament to her perserverence.,event association
,,"Exactly, she always stays composed.",event association
,,"Right, she remains steady no matter the circumstances.",event association
12,verb1,did,
,verb2,is,
,subj,The programmer,
,vp1,used to drink three cups of coffee every day,
,vp2,is about to fall asleep,
,prn,she,
,name1,Allison,
,name2,Lindsay,
,vp1_cont,Now she's cut back to just one cup of coffee per day.,lexical overlap
,,"Three cups of coffee sounds like a lot, but a lot of programmers do that.",lexical overlap
,,I wonder if she still drink that much coffee now.,lexical overlap
,,I hope she didn't replace coffee with energy drinks.,lexical overlap
,,Three cups of coffee a day sounds like a true programmer habit.,lexical overlap
,,I'm guessing she was working on some intense projects back then.,situational inference
,,I bet her schedule was packed with non-stop tasks.,situational inference
,,I wouldn't be surprised if she was on back-to-back calls.,situational inference
,,That kind of routine suggests a lot of stress and deadlines.,situational inference
,,That sounds like a coping mechanism during her exam season in college.,situational inference
,,"She would drink lots of green tea, too.",event association
,,"Some people say it was bad habit, but I don't quite agree.",event association
,,I think she developed that habit during her startup phase.,event association
,,It sounds like her routine while preparing for that coding competition.,event association
,,She used to own a fancy espresso machine as well.,event association
,vp2_cont,"She probably had little sleep, and it's becoming hard to focus.",lexical overlap
,,She's just any seconds away from falling asleep.,lexical overlap
,,Are you sure she's not pretending to be asleep?,lexical overlap
,,"Well, she looks like she's going to fall asleep, but she won't actually sleep.",lexical overlap
,,You should keep her from falling asleep!,lexical overlap
,,"The work has been piling up, and now she's paying the price.",situational inference
,,Her mind is probably clouded after too many hours of work.,situational inference
,,"With all the debugging, she's probably worn out by now.",situational inference
,,"It's the end of a long coding marathon, and fatigue has set in.",situational inference
,,"After that big push to finalize the feature, she's running on empty.",situational inference
,,Her body is signaling for rest after such an intense coding session.,event association
,,The project's demands have led her to this point of fatigue.,event association
,,She's probably been immersed in this task for hours without a real break.,event association
,,She's ready to doze off.,event association
,,I can see sheer exhaustion on her face.,event association
13,verb1,did,
,verb2,was,
,subj,The swimmer,
,vp1,forgot to lock the door,
,vp2,was on a diet,
,prn,she,
,name1,Lucas,
,name2,Arianna,
,vp1_cont,How could she forget to lock the door?,lexical overlap
,,The door is wide open now.,lexical overlap
,,"Well, the door was already broken in the first place.",lexical overlap
,,"I mean, she didn't even have the key to the door.",lexical overlap
,,She's not the first person to forget to lock the door!,lexical overlap
,,There's no privacy now!,situational inference
,,She was probably focused on other things.,situational inference
,,Probably she was rushing out.,situational inference
,,She seemed quite distracted these days.,situational inference
,,It's a pretty common mistake that athletes make after a long practice.,situational inference
,,She's been saying that things slip her mind more often lately.,event association
,,Her memory doesn't seem as sharp as it used to be.,event association
,,She's quite oblivious to many things.,event association
,,She tends to overlook many things.,event association
,,She's quite inattentive to a lot of things.,event association
,vp2_cont,"Yes, the media was saying that she was on a pretty strict diet to enhance endurance.",lexical overlap
,,"After a long off-season, her diet helped her regain form quickly.",lexical overlap
,,"With the regional championships near, her diet became critical.",lexical overlap
,,She adjusted her diet to align with the training cycle.,lexical overlap
,,Her diet was especially important as she prepared for the Olympic qualifiers.,lexical overlap
,,She was trying to stay lean and agile.,situational inference
,,It was part of her strategy to stay in top physical condition.,situational inference
,,It was all about maximizing her speed and performance in the water.,situational inference
,,The coach thought it was essential for her recovery after intense training.,situational inference
,,That was just one aspect of a disciplined approach to her training.,situational inference
,,It was her effort to stay in peak shape.,event association
,,She was focusing on high-protein meals.,event association
,,She avoided any foods that could hinder her training.,event association
,,She was making sure to eat the right balance of nutrients.,event association
,,She was limiting her carb intake before the big race.,event association
14,verb1,did,
,verb2,was,
,subj,The optician,
,vp1,had a flat tire,
,vp2,was talking to the tall nurse,
,prn,she,
,name1,Cole,
,name2,Shelby,
,vp1_cont,She had to call a tow truck for help with the flat tire.,lexical overlap
,,That flat tire left her stranded on the side of the road.,lexical overlap
,,But she was able to change the tire before she had to leave for work.,lexical overlap
,,The tire issue happened and so she couldn't go run errands.,lexical overlap
,,She had barely made it out of the parking lot when the flat tire happened.,lexical overlap
,,That's why she was late!,situational inference
,,"Because of that, she had to cancel her first appointment.",situational inference
,,But glad that didn't happen in the middle of a highway.,situational inference
,,"It couldn't have come at a worse time, right before she had an interview.",situational inference
,,That's bizarre because she bought her car just last week!,situational inference
,,"It took longer than expected to fix, and so she couldn't make it to meeting.",event association
,,She had no idea how long it would take to resolve it.,event association
,,She didn't realize how long the repair would take.,event association
,,Luckily she remembered to call the insurance company to resolve the issue.,event association
,,But she had a spare in her trunk.,event association
,vp2_cont,"In fact, she was having an argument with the nurse.",lexical overlap
,,"But wait, all nurses are tall.",lexical overlap
,,There are two tall nurses -- which one?,lexical overlap
,,She wasn't just talking -- she was yelling at the nurse.,lexical overlap
,,What were they talking about?,lexical overlap
,,Apparently the new equipment had some issues.,situational inference
,,I thought they had a really bad fight!,situational inference
,,It's because the outcomes of the recent test don't look good.,situational inference
,,I heard the clinic was going through major layoffs.,situational inference
,,She's trying to identify the person who leaked sensitive information.,situational inference
,,They were discussing the patient's condition.,event association
,,They were debating over the recent changes in the clinic's protocol.,event association
,,They wanted to clarify some details with patient treatment.,event association
,,They had some disagreement on the upcoming procedures.,event association
,,She was walking through the instructions before the patient's eye exam.,event association
15,verb1,did,
,verb2,was,
,subj,The volunteer,
,vp1,used to dream to become a translator,
,vp2,was mentioned in the newspaper,
,prn,he,
,name1,Carly,
,name2,Heather,
,vp1_cont,Apparently his mom is a quite famous translator.,lexical overlap
,,"Well, he had so many other dreams.",lexical overlap
,,That wasn't the only dream he had.,lexical overlap
,,He no longer wants to become a translator.,lexical overlap
,,He now trains people to become a translator.,lexical overlap
,,But life took her down a different path.,situational inference
,,His interests evolved into something else entirely.,situational inference
,,But something else sparked him with a new passion.,situational inference
,,But that was just a childhood dream.,situational inference
,,But now he seems like someone who's lost hope.,situational inference
,,It's understandable because he speaks so many different languages.,event association
,,His career pivot came after working as a bilingual assistant in a non-profit.,event association
,,I think he even majored in linguistics or a foreign language.,event association
,,That explains why he works as a part-time interpreter.,event association
,,Is that how he started tutoring you?,event association
,vp2_cont,Why was he in the newspaper?,lexical overlap
,,Not just newspapers but magainzes as well!,lexical overlap
,,He was mentioned for his involvement in the community garden project.,lexical overlap
,,Which newspaper?,lexical overlap
,,I don't think he deserves to be featured in a newspaper.,lexical overlap
,,He is now a celebrity!,situational inference
,,Did he do anything wrong?,situational inference
,,No wonder he's been receiving so many calls from his friends!,situational inference
,,His parents must be so proud of him.,situational inference
,,It's because he played a major role during the disaster relief.,situational inference
,,Even in magainzes!,event association
,,He must have done something truly impactful to be featured.,event association
,,He's now getting interview requests.,event association
,,I've been seeing his interviews a lot lately.,event association
,,Even the local radio station talked about him!,event association
16,verb1,did,
,verb2,was,
,subj,The inspector,
,vp1,went to Target to buy some carrots,
,vp2,was isolated from society for a long time,
,prn,he,
,name1,Ricardo,
,name2,Peter,
,vp1_cont,Why did he need carrots?,lexical overlap
,,Why Target?,lexical overlap
,,Are carrots important for inspection?,lexical overlap
,,He must be a big fan of carrots.,lexical overlap
,,I didn't know he likes carrots.,lexical overlap
,,I guess there wasn't a local grocery store nearby.,situational inference
,,Sounds like he's undercover in the produce aisle.,situational inference
,,Is that what he's interrogating next?,situational inference
,,Maybe he's trying to have a better eyesight to see things more clearly!,situational inference
,,I heard that he's on a diet.,situational inference
,,He said he was in the mood for something healthy.,event association
,,"Not just that, he got a whole ingredient for baking a cake.",event association
,,I wonder what kind of meal he's preparing for.,event association
,,I'm curious if he's trying out a new recipe.,event association
,,It's probably for his dinner.,event association
,vp2_cont,How did he get isolated for so long?,lexical overlap
,,For how long?,lexical overlap
,,Did he like being isolated?,lexical overlap
,,Did he lose contact with his families while he was isolated?,lexical overlap
,,I would go crazy if I ever get isolated from the society.,lexical overlap
,,It's no surprise he struggles with trust.,situational inference
,,I wonder how he managed to deal with loneliness.,situational inference
,,He was stranded in an island for four years.,situational inference
,,Wasn't he stationed at that outpost?,situational inference
,,"It's similar to what happened during his stint in the mountains, isn't it?",situational inference
,,It must have been difficult for him to reconnect with people.,event association
,,I imagine it's been hard for him to reintegrate.,event association
,,It sounds like he had to figure out ways to cope with being alone.,event association
,,Being separated from people sounds quite challenging.,event association
,,How did he survive being secluded?,event association
17,verb1,did,
,verb2,would,
,subj,The attendant,
,vp1,won the annual cake-baking contest,
,vp2,would call the landlord every night,
,prn,he,
,name1,Andres,
,name2,Shawn,
,vp1_cont,What's a cake-baking contest?,lexical overlap
,,Is it a renowned contest?,lexical overlap
,,Where did the contest happen?,lexical overlap
,,I didn't know he was into cake-baking.,lexical overlap
,,I wonder how long he prepared for the contest.,lexical overlap
,,I'll call him for my next birthday!,situational inference
,,It’s clear he has a real gift for creating something exceptional.,situational inference
,,That will definitely boost his catering business.,situational inference
,,It sounds like he found a new career.,situational inference
,,"Yes, I heard even the judges licked their plates!",situational inference
,,He was last year's winner!,event association
,,He never loses anything.,event association
,,i heard his brother got the second prize.,event association
,,"The competition must have been tough, but he pulled through.",event association
,,The judges must have been impressed by the flavor and presentation.,event association
,vp2_cont,"Honestly, I'd feel sorry for the landlord too.",lexical overlap
,,Every night?,lexical overlap
,,I feel bad for the landlord.,lexical overlap
,,I don't blame him because the landlord hasn't been taking care of the heater.,lexical overlap
,,I get why the landlord might be fed up.,lexical overlap
,,That must have been exhausting for both.,situational inference
,,That's some next-level stalking!,situational inference
,,It sounds like someone needs to change their number.,situational inference
,,I bet someone's phone was always on silent.,situational inference
,,Someone definitely needed a little chill.,situational inference
,,Was it related to overdue rent?,event association
,,I guess the building had persistent issues.,event association
,,Was there some ongoing dispute?,event association
,,I bet it was about a leaky pipe.,event association
,,Was it about repairs or something more serious?,event association
18,verb1,did,
,verb2,would,
,subj,The columnist,
,vp1,had a nightmare for the first time in years,
,vp2,would read books at a park nearby,
,prn,he,
,name1,Adriana,
,name2,Mitchell,
,vp1_cont,What was the nightmare?,lexical overlap
,,Are you sure he wasn't confused with his editor just calling him?,lexical overlap
,,I wonder what triggered the nightmare after so many years.,lexical overlap
,,Do you think his writing topics influenced the nightmare?,lexical overlap
,,"No, he said he had a nightmare just last week too.",lexical overlap
,,Maybe that recent event stirred those old fears.,situational inference
,,I heard he had a loss in his family recently.,situational inference
,,That movie last night might be the culprit.,situational inference
,,Freud might say it's a manifestation of unresolved issues surfacing.,situational inference
,,"I bet it was about accidentally hitting ""Reply All.""",situational inference
,,Maybe he dreamed he missed his column deadline.,event association
,,Bet he dreamed he showed up to a live interview unprepared.,event association
,,Was his dream about forgetting the name of the interviewee?,event association
,,Perhaps he dreamed about catching a typo on his front page article.,event association
,,Was the dream about the deadline?,event association
,vp2_cont,I think he was in the park for some blind dates.,lexical overlap
,,"He would read anywhere, not just at the park.",lexical overlap
,,What kind of books did he enjoy reading?,lexical overlap
,,Which park?,lexical overlap
,,That's surprising; I've never seen him read books.,lexical overlap
,,He enjoyed it except for some random strangers trying to talking to him.,situational inference
,,"Yes, until some teenagers would begin their impromptu yoga class right next to him.",situational inference
,,Were the flocking pigeons part of his activity?,situational inference
,,Except for the times when an ice cream truck had loud music playing.,situational inference
,,But he didn't like when kids ran around yelling.,situational inference
,,That's a good way to take a break.,event association
,,That sounds quite peaceful.,event association
,,Is that his favorite pasttime?,event association
,,He really enjoyed the tranquility there.,event association
